Cshunt,Ls2,W,Cs,Lp,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1e-13,1.5e-10,1.7e-05,7e-13,2.8e-10,0.0264,-9.563,-7.303,9.713,46.5,31.87,9.981
1e-13,1.5e-10,1.7e-05,7e-13,3e-10,0.0264,-9.955,-6.783,9.54,45.9,31.26,9.95
1e-13,1.5e-10,1.8e-05,6e-13,2e-10,0.02795,-8.5,-11.01,9.926,46.17,31.9,10.17
1e-13,1.5e-10,1.8e-05,6e-13,1e-10,0.02795,-4.516,-2.998,8.452,21.6,14.15,8.303
1e-13,1.5e-10,1.8e-05,6e-13,1.2e-10,0.02795,-4.998,-4.95,9.564,29.38,20.59,9.187
1e-13,1.5e-10,1.8e-05,6e-13,1.4e-10,0.02795,-5.748,-7.311,10.05,36.03,25.78,9.677
1e-13,1.5e-10,1.8e-05,6e-13,1.6e-10,0.02795,-6.651,-9.605,10.16,41.01,29.25,9.951
1e-13,1.5e-10,1.8e-05,6e-13,1.8e-10,0.02795,-7.594,-10.98,10.09,44.31,30.95,10.1
1e-13,1.5e-10,1.8e-05,6e-13,2.2e-10,0.02795,-9.323,-10.24,9.738,46.95,32.27,10.2
1e-13,1.5e-10,1.8e-05,6e-13,2.4e-10,0.02795,-10.04,-9.304,9.545,46.97,32.09,10.19
1e-13,1.5e-10,1.8e-05,6e-13,2.6e-10,0.02795,-10.66,-8.461,9.36,46.52,31.57,10.16
1e-13,1.5e-10,1.8e-05,6e-13,2.8e-10,0.02795,-11.18,-7.755,9.188,45.82,30.87,10.13
1e-13,1.5e-10,1.8e-05,6e-13,3e-10,0.02795,-11.6,-7.176,9.029,45.0,30.11,10.09
1e-13,1.5e-10,1.8e-05,5e-13,2e-10,0.02795,-8.659,-10.6,9.866,46.33,32.1,10.21
1e-13,1.5e-10,1.8e-05,5e-13,1e-10,0.02795,-4.574,-3.104,8.525,22.2,14.63,8.401
1e-13,1.5e-10,1.8e-05,5e-13,1.2e-10,0.02795,-5.095,-5.101,9.591,30.07,21.13,9.267
1e-13,1.5e-10,1.8e-05,5e-13,1.4e-10,0.02795,-5.88,-7.459,10.04,36.68,26.28,9.744
1e-13,1.5e-10,1.8e-05,5e-13,1.6e-10,0.02795,-6.805,-9.622,10.13,41.53,29.6,10.01
1e-13,1.5e-10,1.8e-05,5e-13,1.8e-10,0.02795,-7.758,-10.75,10.03,44.65,31.14,10.14
1e-13,1.5e-10,1.8e-05,5e-13,2.2e-10,0.02795,-9.468,-9.811,9.673,46.94,32.35,10.23
1e-13,1.5e-10,1.8e-05,5e-13,2.4e-10,0.02795,-10.17,-8.92,9.479,46.85,32.07,10.21
1e-13,1.5e-10,1.8e-05,5e-13,2.6e-10,0.02795,-10.76,-8.128,9.294,46.32,31.49,10.19
1e-13,1.5e-10,1.8e-05,5e-13,2.8e-10,0.02795,-11.25,-7.467,9.122,45.56,30.76,10.15
1e-13,1.5e-10,1.8e-05,5e-13,3e-10,0.02795,-11.65,-6.924,8.964,44.72,29.97,10.1
1e-13,1.5e-10,1.8e-05,5.2e-13,2e-10,0.02795,-8.622,-10.69,9.88,46.3,32.06,10.2
1e-13,1.5e-10,1.8e-05,5.2e-13,1e-10,0.02795,-4.561,-3.079,8.508,22.06,14.52,8.379
